Resume_str,Category,field,score,grade
PRESCHOOL TEACHER         Professional Summary    Detail-oriented teacher with experience. Demonstrated success in personal and professional settings providing range of document and text translation services.      Skills          MS Office  Interpersonal Communication  Planning and Coordination  Basic  Interpersonal  Interpersonal Communication  Customer relations  Customer satisfaction      English  Math  MS Office  Neat  Packaging  Rapport  Safety  Sales  Selling  Teaching  Phone  Turkish     ,TEACHER,other,41.0,1
"HISTORY TEACHER         Experience      History Teacher  ,     08/2006   to   Current     Company Name   –   City  ,   State      Seventh grade World History teacher at Southwest Middle School, Chatham County, Savannah, Ga.  Instruct four inclusion class.  Students have diverse academic backgrounds.  Charge with teaching Georgia history, geography, civics and economics.  Connect events to daily study of history, enhance opportunities for higher order thinking skills and writing.  Taught [U.S His",TEACHER,other,49.0,1
"LEAD TEACHER       Accomplishments      Chosen to participate as part of a collaborative with Amelia Gambetti (Reggio Schools, Reggio Emilia, Italy, USI and Deaconess Children's Center Lead Teacher - Little Husky World Mind in the Making training Director of Little Husky World and TLC Nursery.        Chosen to participate as part of a Reggio collaborative with Amelia Gambetti (Reggio Municipal Schools, Reggio Emilia, Italy), USI and Deaconess Children's Center   Lead Teacher - Little Husky World",TEACHER,other,40.0,1
"TEACHER ASSISTANT         Work History      Company Name               Professional Summary    Currently working towards my Education/Career goals of obtaining my BA in Psychology in order to
demonstrate my passion working with Elementary Youth in a classroom setting. My goal is to diversify my educational experience to become a more Proficient Educator/Administrator.     Currently working towards my Education/Career goals of obtaining my BA in Psychology in order to demonstrate my passion worki",TEACHER,other,35.0,1
"TEACHER ASSISTANT       Skills     Accounts Payable, Advertising, Bookkeeping, Budgets, Charts, Customer Service, Financial Reporting, Payroll, Spreadsheets       Professional Summary      Energetic Teacher Assistant specializing in Mathematics.  Energetic Tutor enthusiastic about working with pre-teen students. Excited to grow individual confidence and skill. Outgoing, reliable and caring.  Teacher Assistant and Tutor familiar with Mathematics and Reading. Well-developed Mathematics abilities. ",TEACHER,other,31.0,1
"MATH TEACHER        Menrit    Mansour         Professional Summary     Educational professional accomplished in organizing teacher curricula, creating full year course pacing guides, creating and implementing engaging and interactive lessons that combine real-life experience and provide the highest level of education for each student.          Skills         Word, Excel, and PowerPoint â€¢Advanced knowledge and skills in using media tools for teaching purposes such as Prezi presentations, Youtub",TEACHER,other,33.0,1
"SUBSTITUTE TEACHER       Summary     Receiving an education on Psychology and pursuing my teaching certification,ha been the best professional accomplishment I have achieved. The teaching in the absence of the teacher helped me understand that I have  a background to implement the strategist teach.   Sales Manager successful in relationship and team building. Motivates sales teams to exceed sales goals with track
record of consistently achieving employee retention, skilled in leading teams to se",TEACHER,other,46.0,1
"ASSISTANT TEACHER       Summary    Energetic Childcare Provider with 7+ years working with children in settings such as a day care center, in home nanny, and elementary schools. Works well as part of a team while following all teacher-driven directives. Proactive and self-sufficient in
creating innovative ways to deliver curriculum.      Skills          Positive reinforcement methods  Professional babysitter and nanny  Qualified tutor  Understands developmental disorders  Active listener  Infant",TEACHER,other,40.0,1
"KINDERGARTEN TEACHER           Summary    I have been an elementary educator for Henrico County Public Schools for 16 years. I have taught Head Start, Federal Preschool Programs, first grade and kindergarten. Prior to my teaching career, I worked in administration and management and have experience with accounting, ordering, payroll, computer systems, scheduling and interacting with the general public in multiple capacities.      Skills           Meticulous attention to detail     Professional c",TEACHER,other,37.0,1
"READING TEACHER           Summary     I am a highly motivated educator and self-starter with a passionate commitment to learners and their success and growth. I am accountable and thorough with a history of sound decision-making and innovative skills that have helped a plethora of teachers and students succeed.       As a professional educator with an extensive background in student success, I am also a certified Life and Success Coach.         I look forward  to extending my expertise to the te",TEACHER,other,55.0,2
"LEAD TEACHER       Summary    Use the knowledge and firsthand experience that I have gained through my various education, work in both civilIan and military experience, extracurricular and leadership positions to become a proactive and dedicated team member.      Highlights          Apple and Windows programs including Microsoft Office Suite  Internet Proficiency  Social Media website use for communication with Sigma Kappa and FOCUS members              Accomplishments      Awarded two Navy and ",TEACHER,other,53.0,2
"BIOLOGY TEACHER           Experience     11/2016   to   Current     Biology Teacher    Company Name   －   City  ,   State      Execute, implement, and modify lesson plans while incorporating differentiated instruction and multiple intelligences.  Design and align lessons, labs, and assessments incorporating STEM, problem based learning, Common Core and NGSS.  Volunteer and participate in schools extracurricular activities such as selling tickets for the school talent show and participating in th",TEACHER,other,37.0,1
"SUBSTITUTE TEACHER       Summary    Administrative Assistant with 16+ years experience working with corporations, law firms, and large and small businesses in all aspects of business development and support. Seeking a professional administrative position in a dynamic, professional, educational, or corporate environment.  Excellent written and oral communication skills.      Highlights          Proficient in Microsoft Office   Excellent Internet Research Skills   Detailed and Accurate Transcripti",TEACHER,other,18.0,0
"HOMEBOUND TEACHER       Career Focus    Utilize skills and talents in order to plan, direct, and manage the procurement of food products, equipment, and services that meet the requirements and standards of the Child Nutrition Program by planning appropriate menus, following the dietary guidelines, and maintaining a safe and sanitary environment.      Highlights           Extensive hospitality background    Food ingredients expert  Food safety understanding      Highly responsible and reliable  W",TEACHER,other,41.0,1
"SUBSTITUTE TEACHER       Professional Summary    Enthusiastic and self-motivated professional, with experience as a youth worker, seeks an opportunity to enhance existing skills in working with vulnerable children and families. I am familiar with the challenges and difficulties that children living in stressful family situations face and am keen to offer support that facilitates lasting change.  In my work with students, I have direct experience of the impact of abuse and neglect on children's d",TEACHER,other,40.0,1
"CLASSROOM TEACHER           Summary    Experienced education professional, with a background in instructional design, seeking opportunities to develop materials, activities, and tools that support the teaching practice and improve educational outcomes for young learners. Nearly 20 years experience working in both in- and out-of-classroom settings; including working with diverse populations in Title I and inclusive learning environments. 
*Track-record of effectively participating in collaborativ",TEACHER,other,44.0,1
"ASSISTANT TEACHER       Career Focus    I am looking into changing careers and establishing a career.  I have had a wide variety of jobs including summer camp counselor, fitness instructor, visitation specialist, child care, delivery driving, coach, and disaster specialist.  I am looking for a full-time position.      Core Qualifications          CDL A  Private pilot license  clean MVR      computer literate, strong understanding of window's products  can type 40 wpm  strong work ethic  demonstr",TEACHER,other,40.0,1
"ENGINEERING TEACHER       Professional Summary    To obtain a challenging position in the field of Engineering and to work within a team environment, where I can contribute my skills and experience to a client focused, dynamic organization.      Core Qualifications          Proficiency in  AutoCAD    Computer proficient      Microsoft Office    Autodesk Civil 3D    GIS    Construction cost estimating    HVAC Design    Autodesk Inventor Pro    Autodesk Revit                    Experience      Eng",TEACHER,other,37.0,1
"ADVOCATE         Professional Summary     Conscientious attorney with experience in government relations, educational law and advocacy for families with special needs children, two years practice in health law and public policy for military families, two years federal government experience in human rights and foreign affairs with the U.S. Department of State       Core Qualifications         KEY QUALIFICATIONS     Member of Maryland Bar   Statutory Public Policy  Foreign Affairs  Human Rights La",ADVOCATE,other,40.0,1
"ADVOCATE       Summary    In-depth knowledge of taking orders, compute charges, and administer billing or payments.
* Hands-on experience in reviewing, updating or making changes to customer accounts.
* Track record of listening and responding to customers' needs and concerns.
* Able to handle returns and complaints effectively.
* Demonstrated ability to record details of client contacts and service history.
* Proven ability to determine answers and solutions quickly.
* Special talent for handli",ADVOCATE,other,38.0,1
"ADVOCATE       Summary    Seeking a part time or prn generalist position in Human Resource. Conflict Resolution Team Building Mentoring and Coaching New-Hire Orientation Disc Personality Assessments Training and Development Leadership Development Performance Appraisals Technical Skills           Experience      Advocate   01/2012   to   Current     Company Name   City  ,   State       NF/SG Healthcare for Homeless Veterans Program Coach, mentor, and develop 100 clients, with resume assistance, c",ADVOCATE,other,45.0,1
"DONOR ADVOCATE         Professional Summary     Organized professional with a passion to help others. Backed by four years of classroom teaching experience, one year leading an international children's choir and over two years in Donor Relations, I enjoy working with others in an effort to help them feel valued and successful. I am a creative thinker, eager to learn and discover new ways to implement strategies in order to successfully reach others.       Skills          Detail-oriented  Effecti",ADVOCATE,other,37.0,1
HEALTH ADVOCATE         Professional Summary     I am an empowered health advocate with excellent communication and active listening skills with a strong motivation to succeed. I am seen as reliable and approachable employee who quickly learns and masters new concepts and skills. I am motivated and enthusiastic about helping patients and the community navigate rights and responsibilities during treatment. Personable demeanor with priority on care and service. Seen as a friendly team player with ,ADVOCATE,other,47.0,1
FAMILY ADVOCATE       Summary      [Job Title]  adept at identifying and documenting cases of child abuse. Skilled at finding and implementing the best possible solutions.        Highlights          DCFS Child Welfare License  Behavioral therapy  Empathetic               Sound judgment  Passion for social work  Court procedures familiarity            Accomplishments     Managed a caseload of more than fifty to forty-five clients at any given time.        Experience     04/2011   to   Current    ,ADVOCATE,other,25.0,0
"CUSTOMER ADVOCATE           Career Overview      Objective     To secure an Administrative Specialist/Office Manager position and use my expertise and proven skills in order to positively contribute to the efficient operation as well as the reputation of the business     Ability Summary     Outstanding customer service skills: proven success in client needs assessment, providing reassurance and customized solutions, and ensuring highest level of customer satisfaction attainable.   Technologicall",ADVOCATE,other,31.0,1
"PATIENT ADVOCATE           Professional Profile     Detail-oriented, efficient and organized, with extensive background in community-based organizations seeks to bring strong work ethic and engaging interpersonal communication to a vibrant company.  Over seven years of experience as an office manager/tax preparation worker and over three years of experience assisting patients register for government programs.          Qualifications          Independent worker  Exceptionally organized  Record-ke",ADVOCATE,other,27.0,0
"CONSUMER ADVOCATE       Summary    To obtain a position that would utilize my strong customer service, communication, and leadership skills and offer opportunity for continued professional growth and development.      Skills          Results-oriented  Client-focused  Quick learner  Computer proficient      File/records maintenance  Training and development   File/records maintenance    Microsoft Office            Experience     09/2016   to   Current     Consumer Advocate    Company Name   －   C",ADVOCATE,other,41.0,1
"YOUTH ADVOCATE       Professional Summary     Motivated, enthusiastic, responsible and goal-oriented young educator seeking new opportunities in education and educational background of Psychology and Sociology. Personal and empathetic, with great sense of humor and the ability to bring out the best in others. Skilled in working with children with special learning skills and mental health issues. Motivate and able to bridge student experiences, academic lessons and subjects to real- life situatio",ADVOCATE,other,31.0,1
"PATIENT ADVOCATE         Career Overview    Skilled medical assistant with the sound knowledge of technical support, medical duties and clerical skills. Excellent communication skills along with very solid customer service knowledge.      Core Strengths          Active listening skills  Energetic work attitude  Strong organizational skills  Healthcare billing proficiency  Clinical training  Medical Assisting specialist  Computerized charting specialist  CPR/BLS certified  Medical coding capabili",ADVOCATE,other,25.0,0
"PATIENT ADVOCATE           Summary    Seeking an opportunity in an Management/HR Department where my professional experience and education will allow me to make an immediate contribution, as an integral part of a progressive organization.      Education and Training        HealthCare Administration- Human Resources  ,   2017    Herzing University- Online   －   City  ,   State  ,   Unitted States            Bachelor of Science   :   Management - Human Resource Management  ,   2009    Kaplan Unive",ADVOCATE,other,34.0,1
"COMMUNITY ADVOCATE       Summary     Dedicated and focused Community Advocate who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority.        Certifications    CPR and First Aid      Highlights          Active listening skills                    Time management
  Courteous demeanor                    Detail-oriented   Energetic work attitude           Telecommunication skills    ",ADVOCATE,other,39.0,1
"VICTIM ADVOCATE       Professional Summary      Social worker with more that five years of experience as Multicultural Victim  Advocate  and exceptional people skills. Versed in  advocacy  and case  management . Desires a challenging role as HR Generalist.     Strategic planning and client relationship management expert.   Experience in counseling individuals of various
ethnic and socio-economic backgrounds, including Latinos and immigrants from various countries.       Core Qualifications      ",ADVOCATE,other,40.0,1
"CUSTOMER ADVOCATE       Professional Summary    Customer care professional pursuing a position in an organization seeking an ardent problem solver,
demonstrating immense levels of initiative whilst providing compassionate customer service, with
over 4 years of customer relations experience. Eagerly ready to submerge into gaining new skills, while
utilizing the skills I have acquired throughout my career to help propel this company to new heights. Recently earned ""Recognizing You!"" award for devi",ADVOCATE,other,35.0,1
"CUSTOMER ADVOCATE       Professional Summary    I was in R.O.T.C for 4 years in high school. I Was in our unarmed drill team, I was second in command. I would be
   in drill meets and in competitions. Not only was this distraction for me but it was also a learning experience for me. I gathered leader ship skills, team work skills, also responsibility skills. When we needed to get something done I
   was taught to take the initiative to get things done. I did lead a couple of our drill meets. I d",ADVOCATE,other,26.0,0
"PATIENT ADVOCATE       Summary    Customer service professional dedicated to effective team management and customer satisfaction,
bringing extensive call center experience in inbound, outbound and blended environments. Strength in
training and development, client relations and problem solving. Exceptional customer care professional
who addresses inquiries and resolves problems as they arise.      Skills          Customer service expert          Customer-focused  Strong organizational skills     ",ADVOCATE,other,36.0,1
"BENEFIT ADVOCATE           Career Overview     Customer Service Representative who maintains a high level of professionalism, patience and efficiency to minimize customer dissatisfaction and increase customer loyalty.        Core Strengths           Strong organizational skills     MS Word, MS Excel, MS PowerPoint, MS Office Publisher  Outlook    Loan Servicing Systems: MSP/Fidelity, SEAS and Image Viewer   Legal Search Engine: Lexis Nexis, Westlaw, CRM Selling System   Citrix, online medical so",ADVOCATE,other,33.0,1
"ADVOCATE GENERAL           Professional Summary    Over eleven years experience in management in the Criminal Justice and Mental Health disciplines Developed innovative ""Delayed Sentencing"" and ""Aftercare"" programs for Oklahoma County and surrounding courts Over six years managing a surety company (Bail Bond and Recovery) Proven record of innovative and effective staff development Strong commitment, vision and leadership         Skill Highlights          Highly analytical thinking with demonstra",ADVOCATE,other,45.0,1
"VICTIM ADVOCATE       Summary     Highly motivating, detail-oriented, and adaptable social services professional skilled in intakes and assessments, crisis management and comprehensive case management. Possessing a strong background in the criminal justice field, excellent organizational and analytical skills, extensive experience managing heavy case loads, working closely with social services and criminal justice agencies and program management.Well-rounded professional experienced in applying ",ADVOCATE,other,43.0,1
"MEMBER ADVOCATE         Education and Training     2009     University of the Incarnate Word  City  ,   State      Bachelor of Business Administration             2011     University of the Incarnate Word  City  ,   State      Master of Business Administration                Professional Experience     01/2012   -   Current     Company Name   －   City  ,   State    Member Advocate        Represent DentaQuest at community events and meetings to provide information to low-income populations about ",ADVOCATE,other,23.0,0
"FAMILY ADVOCATE       Professional Summary     A motivated professional with practical, analytical, and operational skills with resourceful problem solving. Communicative and personable, will learn and adapt quickly. Hands on, follow directions, and serve internal and external customers with poise and professionalism.       Skills         Strong interpersonal skills  MS Word, MS Excel, MS Powerpoint  Outlook  Benefit servicing systems: ICUE, Facet, ISET  Customer service management expertise  Ci",ADVOCATE,other,36.0,1
"PATIENT ADVOCATE       Summary    Highly driven, organized and motivated Patient Advocate with over 7 years of experience in the healthcare field and customer relations. 
Skilled in providing compassionate, efficient patient care with a background in clinical settings. Experience in leading a team, 
new hire training, billing, claims, and records management.        Experience     01/2016   to   Current     Patient Advocate    Company Name   －   City  ,   State      Served as liaison between the ",ADVOCATE,other,32.0,1
COMMUNITY ADVOCATE           Summary     Compassionat e social services professional and active listener dedicated to working tirelessly with clients to help them resolve mental health issues and thrive on their own terms.Eager to learn                                     Highlights          30 hour Domestic Violence Training  Customer services training  Proficient in Microsoft Office: Excel/Word/PowerPoint/Publisher/Outlook  Type 50 WPM  Leadership Training         Mental Health Facilitator  Sk,ADVOCATE,other,38.0,1
SHELTER ADVOCATE           Summary     Dynamic shelter advocate with years of clerical experience that is great with communication skills and confidentiality.  I am very experienced with computers and a tremendous amount of office skills.       Highlights          Crisis intervention and resolution  Complex problem solving skills  Valid Texas driver's license  Reliable transportation  Strong decision maker  Fundraising background       Client engagement  Compassionate  Dedicated patient advocate,ADVOCATE,other,40.0,1
"VOLUNTEER ADVOCATE       Summary     Talented Bachelor of Arts Graduate seeking to obtain an entry level Professional position within your company. Excellent Customer service and management skills are just some of the skills I have accomplished in the course of my experiences. Dedicated Bachelor of Arts graduate with a double major in Psychology and Sociology also  with a Minor in HealthCare Administration, and a passion to serve the community in a more excellence way. Comprehensive professional",ADVOCATE,other,35.0,1
"CUSTOMER ADVOCATE           Career Overview     Enthusiastic customer service/telesales representative with in-depth knowledge of sales, account management and training. I have over 15 years of experience in retail, real estate, medical, insurance and sales customer service.        Core Strengths          Strong organizational skills  Seasoned in conflict resolution  Sharp problem solver  Energetic work attitude  Large cash/check deposits expert  Customer service expert  Telephone inquiries spec",ADVOCATE,other,32.0,1
PATIENT ADVOCATE           Summary     Compassionate and professional  Crisis Specialist  who believes excellent people skills and open communication are essential functions of successful client advocacy.        Highlights          Exceptional organizational skills  Mediation  State government background  Proficient in NIMS and ICS       Creative problem solver  Empathetic  Emergency response training  Natural leader  Excellent interpersonal skills            Accomplishments       Effectively ma,ADVOCATE,other,35.0,1
"CUSTOMER ADVOCATE           Summary     To obtain a position in Company.       Education      BBA   :   Marketing  ,   2014    University of Central Arkansas   -   City  ,   State  ,   Faulkner            Experience      Customer Advocate    September 2014   to   Current     Company Name   -   City  ,   State      Handle incoming calls from a national customer base.  Provide detailed information on services and products to customers.  Make appropriate account recommendations based on customer   ",ADVOCATE,other,36.0,1
"FULFILLMENT ADVOCATE       Summary    Guadalajara, Jalisco, Mexico 
With a 8 year experience on the manufacturing and IT companies and knowing materials, finance,sales and supply chain processes where my concern is being in constantly growing. Today I would like to bring my expertise together with my strong analytical capabilities and excellent communication skills to international company with customer focus. I have no fear for changes and that is why I would like to learn new processes and bei",ADVOCATE,other,39.0,1
"DISABILITY ADVOCATE           Professional Summary    Dedicated Public Health Administrator, adept at public and community relations, staff development
and project management. Seeking an opportunity to merge managerial experience with the public health field, resulting in improved patient care and increased company rate of investment return.      Education and Training      East Stroudsburg University     2016       Bachelor of Science  :   Public Health Health Services Administration Public Hea",ADVOCATE,other,35.0,1
"VETERAN ADVOCATE INTERN         Professional Summary    An industrious, organized professional with excellent analytical and observational skills who enjoys working as a team-player, and desires to work for a professional company in the Human Services Field.     An industrious, organized professional with excellent analytical and observational skills who enjoys working as a team-player, and desires to work for a professional company in the Human Services Field.       Skills           Conflict re",ADVOCATE,other,33.0,1
"SENIOR CLIENT ADVOCATE II       Accomplishments      Earned the Workgroup for Electronic Data Interchange (WEDI) Award of Merit 2 years in a row for educating the health care industry on electronic claims attachments.  Affiliations.  Health Level Seven (Standards Developing Organization) knowledge of V2 messages, Fast Healthcare Interoperable Resources (FHIR) and the Meaningful Use electronic health record standard Consolidate Clinical Document Architecture.        Summary    Motivated Business ",ADVOCATE,other,50.0,2
"SCHOOL SUCCESS ADVOCATE           Accomplishments      YMCA Camp Orkila (Orcas Island, WA) Adventure Team Facilitator, 2011 Facilitated all of the Low and High Challenge Course elements, many group 'initiatives,' the rock climbing wall, and the BMX course at camp; planned activities to encourage personal growth; and led extensive training in team building.  Leadership: completed a 5-day intensive training facilitated by Synergo on challenge course facilitation; facilitated team-building activiti",ADVOCATE,other,32.0,1
"GRADATION CANDIDATE ADVOCATE       Executive Summary      High-energy Manager successful in building and motivating dynamic teams. Cultivates a company culture in which staff members feel comfortable voicing questions and concerns, as well as contributing new ideas that drive company growth.          Versatile child advocate professional with over 5 years experience working in a student-focused learning environment helping students improve their literacy.          Core Qualifications          Op",ADVOCATE,other,30.0,1
"Summary    Administrative support professional with experience working in a fast past environment, demanding strong organizational, technical and interpersonal skills. Trustworthy, ethical and discreet, committed to superior Leadership, customer service, and technical support while working as an individual or in a team environment. Confident and poised in interaction with individuals at all levels. Detailed oriented resourceful in completing projects on time and able to multi-task effectively. C",ADVOCATE,other,32.0,1
"BILINGUAL CLIENT ADVOCATE       Professional Summary     Organized, hardworking, and reliable social worker dedicated to providing effective and empathetic help.  Adept at documenting case files and assessing clients. Talented at setting clients at ease and handling the stressful demands of working with cases of victims of abuse. Accustomed to working in fast-paced environments. Proficient at communicating with clients and professionals including attorneys, Judges, police officers, and others. S",ADVOCATE,other,31.0,1
"CUSTOMER SUCCESS ADVOCATE           Professional Profile    Operate a register efficiently and effectively. Keep receiving area organized; maintain cleanliness of area. Assist all customers with any requests and be able to help customers with any questions about electronics.
*Ability to work with customers and employees from a variety of culturally diverse backgrounds.
*Ability to analyze problems/situations and make well-reasoned decisions.
*Communicate with customers clearly and efficiently in",ADVOCATE,other,29.0,0
"SENIOR MEMBER ADVOCATE       Summary     To obtain a position with a corporation that can benefit from my highly adapted organizational, problem solving, and communication skills with over fifteen years experience.Seasoned customer service specialist with background in providing advice on diverse customer situations.        Accomplishments      #1 in Member Satisfaction Survey's in Sears Corporate Holdings Inc out of 420.  Senior Member Advocate, over 25+ years in the service industry with half ",ADVOCATE,other,41.0,1
CUSTOMER SERVICE ADVOCATE II           Summary     Qualified Lead Customer Service Representative with 16 + years in fast-paced customer service utility office environment and Affordable Care Reform. Personable and professional under pressure. At the utility company I was responsible for the day in and day out operations of a busy utility office as both lead customer service representative and assistant to my local manager. I handled everything from time sheets for the entire office to payments ,ADVOCATE,other,11.0,0
CHILD ADVOCATE MANAGER       Summary    To apply creative problem solving and management skills with a growing company. To manage people and interface with customers while using my skill in the best possible way to achieve organizational goals.      Highlights          Active Listening  Time Management  Service Orientation  Critical Thinking       Reading Comprehension   Systems Analysis  Instructing  Judgment and Decision Making            Accomplishments      Established and executed marketing,ADVOCATE,other,45.0,1
"CHILD FAMILY ADVOCATE           Professional Profile     Talented administrative professional with background in accounting and finance. Extensive knowledge of AR/AP, Microsoft Excel and Quick Books-software skills. Fearless Child Family Advocate comfortable taking a stand against threats to a child's safety or well-being. Works directly with government officials, children and families to find the best care possible for every child.       Qualifications          Attentive listener  Sensitive  Fa",ADVOCATE,other,37.0,1
CUSTOMER SERVICE ADVOCATE           Professional Summary     Talented Customer Service manager skilled at balancing customer needs and company demands. Effectively builds loyalty and long-term relationships with customers while achieving all individual sales goals. A sales manager skilled in exceeding sales goals and company expectations by expanding client base and maintaining high standards of customer service.Energetic and reliable Retail Sales manager skilled in high-end merchandise environm,ADVOCATE,other,51.0,2
"CUSTOMER SERVICE ADVOCATE           Summary     Detail-oriented Administrative/ Clerical support with extensive experience performing medical clerical duties and supporting 5 physicians in a busy medical office. Expertise includes with excellent communication skills demonstrated by18 years of experience, verifying insurance coverage, records reviews and schedule maintenance.       Highlights          Results-oriented  Maintains strict confidentiality   Meticulous attention to detail      Excelle",ADVOCATE,other,34.0,1
"QUALITY ASSURANCE ADVOCATE           Summary    I have recently completed five years of military service with the United States Army. During my tenure in the service, I have acquired training and experience in a variety of areas including human resources management, staff training, operations management, customer service, and personnel administration. As you will note from my resume, I have progressed through several levels of leadership responsibilities and have excelled in consistently exceedi",ADVOCATE,other,21.0,0
COURT APPOINTED SPECIAL ADVOCATE           Summary     Financial professional who is a self-starter and capable of effectively functioning with minimum supervision. Known for taking initiative and skilled at meeting challenges and deadlines. A team player who is attentive to detail and produces quality results. Computer proficient. Areas of expertise include:   Analysis  Accounts Payable/Payroll  Microsoft Office  Written and Verbal Communications  Detail Oriented  Multi Tasking  Organization/Pr,ADVOCATE,other,40.0,1
"BENEFIT ADVOCATE SUPERVISOR           Summary    Represent a reputable company as an Underwriter, proving my value by building and 
supporting a healthy and profitable book of business.      Highlights          Licensed Property, Casualty, Life and Disabilty Insurance Agent in Washington.  Technical and Soft Skill Coaching, Supervising, Coverage Counseling, Training.  Development of Training Materials, Workflows, Procedures, SharePoint Sites, Wiki Pages,  Quality Assurance Programs, Form Letters",ADVOCATE,other,33.0,1
"COMMUNITY RELATIONS ADVOCATE SUPERVISOR       Summary    To be afforded the opportunity to apply my advanced administrative, problem solving, organizational and sales abilities towards achieving continuous, improved business performance for a growing/stable organization. Professional Accomplishments/ Skills & Attributes: Developed and implemented the St. Philips' College Truck Driving Program. Successfully implemented introductory class for prospective adoptive parents, which increased applicant",ADVOCATE,other,51.0,2
"CLIENT RELATIONS ADVOCATE       Career Overview     Seeking a challenging and rewarding career in Customer Service that would utilize acquired knowledge, training , and skills to achieve career growth potential and advancement. Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success. Extensive experience includes performing needs assessments, gathering appropriate documents to assess efficiency, and analyzing processes and procedure",ADVOCATE,other,35.0,1
"CASE MANAGER/OUTREACH ADVOCATE           Summary     Adaptable and friendly Case Worker and team player with comprehensive background in crisis intervention utilizing motivational interviewing techniques.       Highlights         Microsoft Office, Word, Excel, Outlook, Data Entry and Power Point.        Ability to interact with a diverse population with a compassionate demeanor.Excellent interpersonal skills  Strong communicator  Culturally-sensitive  Self-starter  Skilled multi-tasker  Fast lea",ADVOCATE,other,29.0,0
"CUSTOMER CARE ADVOCATE         Experience      Customer Care Advocate     04/2019  
                                to   Current      Company Name   –   City  ,
                              State      Respond to phone calls and correspondence including but not limited too, appeals, corrected claims, timely filing, and claims projects.  Responding to high call volumes of incoming calls and customer inquiries from current and prospective members, providers as well as internal and external busines",ADVOCATE,other,36.0,1
SENIOR CUSTOMER SERVICE ADVOCATE           Professional Profile     Over ten years of management and customers services skills in retail and call center environment. Expert computing and technology skills in multiple software applications.       Qualifications          Leadership  Sales  Writing  Communications  Customer Service      Training  Counseling  Client Support  Multitasking  Professional  Microsoft Office             Relevant Experience     Increased client engagement in all Active Hea,ADVOCATE,other,41.0,1
"FAMILY AND COMMUNITY ADVOCATE       Professional Summary          Affiliations    Creative problem solver & computer literate Experience in Domestic Violence advocacy, conflict resolution, Trauma counseling & community referrals Excellent communication, organizational and information gathering skills Effective multicultural communication & interaction skills Ability to provide crisis services including suicide prevention Expertise in Counseling (including in-home) & group facilitation Expertise ",ADVOCATE,other,50.0,2
"SENIOR MEMBER SERVICE ADVOCATE        SHANNA    SCRUGGS         Professional Summary     Motivated customer service specialist with over  20  years  experience in a fast-paced, team-based environment high call volume environments.       Skills    account reconciliations, accounting, Accounts Payable, apollo, auditing, benefits, billing system, coach, com, Credit, client, customer satisfaction, data entry, database, delivery, fashion, features, FTP, General Ledger accounts, http, legal documents,",ADVOCATE,other,26.0,0
"BUSINESS ADVOCATE BANKER      Cruz    Navarro      Cruz    Navarro       Professional Summary         Highly ambitious professional with background in Financial Services Procurement and Management. Expertise in market analysis, forecasting and client needs assessments.      Highly ambitious professional with background in Financial Services Procurement and Management. Expertise in market analysis, forecasting and client needs assessments.       Skills    account management, Business Development,",ADVOCATE,other,40.0,1
"CUSTOMER SERVICE ADVOCATE       Summary     Highly-motivated, coaching, and analytical health insurance leader.       Experience      Customer Service Advocate     Mar 2016        Company Name   －   City  ,   State     Patient Cetner Medical Home Dedicate Representative   Working 0-2 FCR Case Report   Coaching new and seasoned reps on casework and taking calls.  Coach and assist new customer service representatives  Helps train and inform departments regarding PCMH            Missionary Pastor/C",ADVOCATE,other,41.0,1
"PATIENT HEALTH ADVOCATE       Summary    As a Patient Health Advocate, I am highly motivated and qualified in customer service.  By establishing a quick rapport and utilizing both a calming and inquisitive style, I am confident that my many years of experience will prove to be an asset.  I am seeking a position that will provide a variety of new skills and experience.      Skills          Client relations specialist  Conflict resolution techniques  Focused on customer satisfaction  Skilled multi",ADVOCATE,other,24.0,0
"DOMESTIC VIOLENCE COUNSELOR ADVOCATE       Summary    I am a responsible self-starter who communicates well and is dedicated to providing great customer service and staff support. I am comfortable working autonomously or in a team-based setting. I am both calm and  focused, great at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals.        Experience     01/2015   -   Current     Company Name   －   City  ,   State     Domestic Violence Counselo",ADVOCATE,other,26.0,0
CHILD PERFORMER WELFARE ADVOCATE         Summary    Administrative professional offering excellent communication and computer skills. Meets deadlines and works with a high level of multicultural awareness and adaptability.      Highlights        S KILLS Critical thinking Business correspondence Attention to detail Filing and data archiving Report development Physician billing Types 50 WPM Patient scheduling Microsoft Office Suite Quality assurance Misys Tiger Medical Software proficient         ,ADVOCATE,other,29.0,0
"REVENUE CYCLE ADVOCATE       Summary     Dedicated and focused Office Manager/Supervisor who excels at prioritizing, completing multiple tasks simultaneously and following through to achieve project goals. Seeking a role of increased responsibility and authority.Energetic Revenue Cycle Advocate with 20+ years experience in high-level executive support roles. Organized and professional.       Highlights          Microsoft Office proficiency  Excel spreadsheets  Self-directed  Results-oriented  Me",ADVOCATE,other,48.0,1
